[2025-10-31 14:11:01.818] [app] [info] [Logger.cpp:27] Logger initialized: data\logs\app.log
[2025-10-31 14:11:01.818] [app] [info] [SqliteService.cpp:9] SqliteService initialized at data\app.sqlite3
[2025-10-31 14:11:01.818] [app] [info] [Hdf5Service.cpp:9] Hdf5Service initialized at data
[2025-10-31 14:11:01.819] [app] [info] [ProcessingService.cpp:18] ProcessingService started with 32 workers
[2025-10-31 14:11:01.819] [app] [info] [AppBackend.cpp:48] Backend initialized.
[2025-10-31 14:11:07.798] [app] [info] [CaptureService.cpp:42] CaptureService starting: parts=100, buffers=20
[2025-10-31 14:11:09.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=514
[2025-10-31 14:11:09.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=867
[2025-10-31 14:11:09.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:09.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:09.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:09.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:09.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:09.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:09.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:09.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:09.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=855
[2025-10-31 14:11:09.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=857
[2025-10-31 14:11:09.682] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:09.722] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:09.762] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:09.802] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=865
[2025-10-31 14:11:09.842] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:09.882] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:09.922] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=851
[2025-10-31 14:11:09.962] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:10.002] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=866
[2025-10-31 14:11:10.042] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=863
[2025-10-31 14:11:10.082] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:10.122] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:10.162] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=847
[2025-10-31 14:11:10.202] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:10.242] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=860
[2025-10-31 14:11:10.282] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
[2025-10-31 14:11:10.322] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=861
[2025-10-31 14:11:10.362] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=852
[2025-10-31 14:11:10.402] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=862
[2025-10-31 14:11:10.442] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=854
[2025-10-31 14:11:10.482] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=852
[2025-10-31 14:11:10.522] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=858
[2025-10-31 14:11:10.562] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=859
[2025-10-31 14:11:10.602] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=864
[2025-10-31 14:11:10.642] [app] [info] [AppBackend.cpp:44] CPU job: 1920x1080, ts=0 ns, cksum=856
