# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
6.822315e+01	2.714920e-02	7.010582e-01
6.914745e+01	2.759980e-02	7.010582e-01
6.996150e+01	2.800430e-02	7.010582e-01
7.072402e+01	2.840880e-02	7.010582e-01
7.148632e+01	2.881320e-02	7.010582e-01
7.224863e+01	2.921770e-02	7.010582e-01
7.299608e+01	2.962220e-02	7.010582e-01
7.374015e+01	3.002660e-02	7.010582e-01
7.445902e+01	3.043110e-02	7.010582e-01
7.517497e+01	3.083560e-02	7.010582e-01
7.583827e+01	3.124010e-02	7.010582e-01
7.650698e+01	3.164450e-02	7.010582e-01
7.719052e+01	3.204900e-02	7.010582e-01
7.787543e+01	3.245350e-02	7.010582e-01
7.856190e+01	3.285800e-02	7.010582e-01
7.929000e+01	3.326240e-02	7.010582e-01
8.002733e+01	3.366690e-02	7.010582e-01
8.076443e+01	3.407140e-02	7.010582e-01
8.151120e+01	3.447590e-02	7.010582e-01
8.223480e+01	3.488030e-02	7.010582e-01
8.291205e+01	3.528480e-02	7.010582e-01
8.359200e+01	3.568930e-02	7.010582e-01
8.426633e+01	3.609380e-02	7.010582e-01
8.500545e+01	3.649820e-02	7.010582e-01
8.570452e+01	3.690270e-02	7.010582e-01
8.621707e+01	3.730720e-02	7.010582e-01
8.676000e+01	3.771170e-02	7.010582e-01
8.738460e+01	3.811610e-02	7.010582e-01
8.800920e+01	3.852060e-02	7.010582e-01
8.863380e+01	3.892510e-02	7.010582e-01
8.924895e+01	3.932960e-02	7.010582e-01
8.979818e+01	3.973400e-02	7.010582e-01
9.034740e+01	4.013850e-02	7.010582e-01
9.089640e+01	4.054300e-02	7.010582e-01
9.144562e+01	4.094750e-02	7.010582e-01
9.200723e+01	4.135190e-02	7.010582e-01
9.266602e+01	4.175640e-02	7.010582e-01
9.327218e+01	4.216090e-02	7.010582e-01
9.379710e+01	4.256540e-02	7.010582e-01
9.432203e+01	4.296980e-02	7.010582e-01
9.484695e+01	4.337430e-02	7.010582e-01
9.536737e+01	4.377880e-02	7.010582e-01
