# BEGIN METADATA
# {
#   "channel_width": 30.0,
#   "flow_rate": 0.25,
#   "fluid_viscosity": 4.24,
#   "scaled_from": "20220826_HyperelasticLookup_3D_nonNewtonian_All_lut.txt"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
6.560707e+01	4.006400e-02	5.978114e-01
7.645095e+01	5.207600e-02	5.978114e-01
6.581722e+01	3.557800e-02	6.233045e-01
7.682805e+01	4.518100e-02	6.233045e-01
8.754120e+01	5.764400e-02	6.233045e-01
7.841880e+01	1.547900e-02	9.559885e-01
8.990392e+01	1.812600e-02	9.559885e-01
1.923120e+02	5.236700e-02	9.559885e-01
2.036666e+02	5.761600e-02	9.559885e-01
2.149398e+02	6.444000e-02	9.559885e-01
2.261880e+02	7.125300e-02	9.559885e-01
1.013776e+02	2.107500e-02	9.559885e-01
1.127914e+02	2.419300e-02	9.559885e-01
1.242443e+02	2.730400e-02	9.559885e-01
1.355904e+02	3.089000e-02	9.559885e-01
1.470321e+02	3.457700e-02	9.559885e-01
1.583548e+02	3.852000e-02	9.559885e-01
1.697305e+02	4.260900e-02	9.559885e-01
1.810519e+02	4.713900e-02	9.559885e-01
6.692625e+01	1.151700e-02	1.008249e+00
7.850857e+01	1.377200e-02	1.008249e+00
1.816263e+02	4.067000e-02	1.008249e+00
1.929938e+02	4.485800e-02	1.008249e+00
2.044573e+02	4.902400e-02	1.008249e+00
2.159163e+02	5.393300e-02	1.008249e+00
2.274075e+02	5.890800e-02	1.008249e+00
2.389118e+02	6.407100e-02	1.008249e+00
2.503283e+02	7.020300e-02	1.008249e+00
9.002228e+01	1.609200e-02	1.008249e+00
1.015315e+02	1.865800e-02	1.008249e+00
1.129862e+02	2.135900e-02	1.008249e+00
1.244851e+02	2.404100e-02	1.008249e+00
1.358861e+02	2.710200e-02	1.008249e+00
1.473802e+02	3.023700e-02	1.008249e+00
1.702193e+02	3.696500e-02	1.008249e+00
7.858867e+01	1.225000e-02	1.064334e+00
9.012690e+01	1.428600e-02	1.064334e+00
1.935250e+02	3.881600e-02	1.064334e+00
2.050553e+02	4.226000e-02	1.064334e+00
2.165971e+02	4.617600e-02	1.064334e+00
2.281860e+02	5.018400e-02	1.064334e+00
2.397938e+02	5.428800e-02	1.064334e+00
2.513970e+02	5.884500e-02	1.064334e+00
2.632208e+02	6.391700e-02	1.064334e+00
2.748938e+02	6.895700e-02	1.064334e+00
2.867197e+02	7.553800e-02	1.064334e+00
2.985953e+02	8.162300e-02	1.064334e+00
1.016669e+02	1.652500e-02	1.064334e+00
1.131561e+02	1.887300e-02	1.064334e+00
1.246939e+02	2.119800e-02	1.064334e+00
1.361396e+02	2.383000e-02	1.064334e+00
1.476756e+02	2.652200e-02	1.064334e+00
1.706198e+02	3.224200e-02	1.064334e+00
